,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
19270509,  -0.16,   0.42,  -0.33,   0.08,   0.21,   0.38,   0.27,   0.53,   0.64,  -0.14
19270510,  -0.28,  -0.61,  -0.03,  -0.40,  -0.04,  -0.19,  -0.25,   0.06,   0.45,  -0.03
19270511,   0.71,   0.15,  -0.17,   0.66,  -0.13,  -0.06,  -0.23,  -0.08,  -0.40,  -0.73
19270512,  -0.37,  -0.05,   0.25,  -0.10,  -0.18,  -0.13,  -0.36,  -0.21,  -0.05,   0.14
19270513,   0.87,  -0.34,  -0.22,   0.83,   0.54,   0.94,   0.25,   0.78,   0.78,   0.75
19270514,  -0.33,   0.27,   0.15,   0.40,  -0.01,   0.13,   0.04,   0.15,  -0.06,  -0.31
19270516,  -1.23,  -0.57,  -0.79,  -0.53,  -0.26,  -0.88,  -0.49,  -0.94,  -0.82,  -1.11
19270517,   0.51,   0.17,  -0.31,   0.36,   0.27,   0.73,   0.42,   0.52,   0.87,   1.13
19270518,   0.53,   0.17,   0.07,  -0.15,  -0.02,   0.43,   0.31,   0.57,   0.89,   1.99
19270519,   0.19,  -0.04,  -0.29,   0.45,  -0.12,   0.73,   0.27,   0.26,   0.46,   0.02
19270520,   1.57,   1.11,   0.28,   0.71,   0.31,   0.29,   0.55,   0.63,   0.71,   0.14
19270521,  -0.16,   0.88,   0.26,   0.46,   0.37,   0.00,   0.20,   0.41,   0.30,   0.23
19270523,  -0.57,  -0.47,   0.04,  -0.35,   0.06,   0.02,   0.12,   0.32,   0.19,   0.74
19270524,  -0.56,  -0.23,  -0.20,  -0.14,   0.03,  -0.14,   0.27,  -0.21,  -0.39,  -0.37
19270525,   0.12,  -0.08,   0.03,  -0.24,  -0.02,   0.52,  -0.12,   0.40,   0.10,   0.78
19270526,  -0.95,   0.69,   0.57,   0.46,   0.28,   0.36,   0.21,  -0.06,  -0.04,  -0.64
19270527,   0.35,   0.52,  -0.11,   0.53,   0.32,   0.53,   0.65,   0.33,   0.52,   0.56
19270528,   1.16,  -0.04,   0.08,   0.13,   0.07,   0.21,   0.05,   0.26,  -0.13,   0.38
19270531,  -0.88,  -0.31,   0.09,   0.32,   0.29,   0.71,   0.03,   0.46,   0.18,   0.63
19270601,  -0.64,  -0.36,   0.12,   0.10,   0.19,   0.44,   0.32,   0.34,   0.75,   0.59
19270602,   0.10,  -0.60,   0.16,   0.11,  -0.06,   0.02,   0.00,   0.18,   0.22,   0.43
19270603,  -1.63,  -0.68,  -0.33,  -0.98,  -0.64,  -1.01,  -0.76,  -1.24,  -1.00,  -1.26
19270604,  -0.03,   0.38,   0.04,   0.21,   0.32,   0.42,   0.43,   0.76,   0.59,   0.39
19270606,  -1.07,   0.77,   0.14,   0.24,   0.76,   0.44,   0.54,   0.57,   0.62,   1.32
19270607,  -0.04,   0.00,  -0.26,  -0.02,  -0.28,  -0.62,  -0.32,  -0.53,  -0.29,  -0.25
19270608,  -0.94,   1.37,   0.56,   0.60,   0.13,   0.07,   0.17,   0.19,   0.31,   0.25
19270609,  -0.79,   1.09,  -0.05,   0.51,  -0.13,  -0.13,  -0.23,  -0.09,   0.05,   0.06
19270610,  -0.71,  -0.62,  -0.01,  -0.37,  -0.26,  -0.40,  -0.53,  -0.37,  -0.14,  -0.53
19270611,  -0.61,   0.53,  -0.22,  -0.12,  -0.19,  -0.05,  -0.08,   0.04,  -0.11,  -0.13
19270614,  -0.97,  -0.75,  -1.50,  -1.45,  -1.26,  -1.18,  -1.11,  -1.68,  -1.94,  -2.69
19270615,   1.24,   1.16,   0.17,   0.75,   1.08,   1.25,   0.33,   1.31,   1.24,   1.49
19270616,   1.00,   0.27,  -0.01,   0.26,   0.72,   0.37,   0.48,   0.54,   1.62,   0.78
19270617,  -0.36,   0.25,   0.31,   0.94,  -0.13,  -0.14,   0.36,   0.33,   0.04,  -0.09
19270618,   0.17,   0.02,  -0.05,  -0.30,  -0.17,  -0.01,  -0.11,  -0.21,  -0.15,   0.33
19270620,  -0.34,  -0.04,  -0.15,  -0.27,  -0.21,  -0.15,  -0.19,  -0.02,  -0.26,  -0.28
19270621,  -1.41,   0.26,  -0.65,  -0.35,  -0.07,  -0.36,  -0.27,  -0.49,  -0.18,  -0.44
19270622,   0.70,  -0.63,  -0.14,  -0.36,   0.16,   0.11,  -0.10,   0.32,   0.13,   0.22
19270623,  -1.89,  -1.19,  -0.92,  -0.94,  -0.86,  -0.56,  -0.58,  -0.76,  -1.07,  -1.71
19270624,  -0.29,   0.14,   0.02,   0.13,  -0.01,   0.34,   0.14,   0.21,   0.02,   0.41
19270625,   0.63,  -0.64,  -0.60,  -0.34,  -0.07,   0.00,   0.03,   0.12,   0.08,   0.01
19270627,  -2.42,  -1.53,  -0.86,  -1.10,  -1.17,  -0.91,  -1.05,  -1.20,  -1.77,  -1.94
19270628,  -0.03,   0.72,   0.66,   0.40,   0.19,   0.13,   0.04,   0.22,   0.89,  -0.33
19270629,  -0.06,  -0.17,  -0.05,  -0.13,   0.06,  -0.05,   0.24,  -0.09,  -0.32,   0.65
19270630,  -0.91,  -0.44,  -0.20,  -0.20,   0.28,  -0.05,   0.05,   0.03,  -0.05,  -0.75
19270701,   1.35,   0.43,   0.50,   0.40,   0.47,   0.62,   0.80,   0.68,   0.83,   0.98
19270702,   0.70,   0.74,   0.67,   0.18,   0.33,   0.47,   0.59,   0.49,   1.06,   0.70
19270705,   0.22,   0.75,   0.29,   0.62,   0.92,   0.77,   0.82,   1.19,   1.20,   1.23
19270706,   0.79,   0.84,   0.92,   0.89,   0.51,   0.55,   0.24,   0.88,   0.67,   0.60
19270707,  -2.10,  -0.54,  -0.28,  -0.35,  -0.15,   0.00,  -0.27,  -0.27,  -0.45,  -0.32
19270708,  -1.47,  -0.83,  -0.60,  -0.06,  -0.01,   0.07,  -0.03,   0.08,   0.27,  -0.69
19270709,   0.50,   0.34,   0.54,   0.15,   0.24,   0.03,  -0.04,   0.56,   0.31,   0.05
19270711,   0.04,  -0.40,   0.32,   0.08,   0.71,   0.63,   0.46,   0.84,   0.41,   0.12
19270712,   0.09,   0.52,   0.09,   0.20,   1.02,   0.43,   0.60,   0.19,  -0.17,   0.39
19270713,   0.57,  -0.28,  -0.02,   0.29,   0.17,   0.69,   0.46,   0.14,   0.15,   0.13
19270714,   1.11,   0.14,   0.23,   0.07,   0.38,   0.41,   0.10,   1.45,   0.69,   0.63
19270715,   0.78,   0.19,   0.56,   0.21,   0.09,   0.31,   0.07,   0.01,   0.51,   0.36
19270716,   1.28,   1.26,   0.29,   0.28,   0.17,  -0.03,   0.15,  -0.02,   0.08,   0.17
19270718,   0.09,   0.44,   0.24,  -0.04,   0.54,  -0.05,   0.22,   0.39,   0.27,  -0.04
19270719,   0.31,  -0.29,   0.47,   0.80,  -0.06,  -0.05,   0.36,   0.41,   0.11,   0.79
19270720,   0.43,  -0.57,  -0.22,   0.37,   0.60,   0.37,   0.15,   0.03,   1.20,   2.07
19270721,   0.34,  -0.76,  -0.28,   0.27,  -0.05,   0.05,  -0.12,   0.13,   0.12,  -0.08
19270722,  -0.16,   0.01,   0.24,  -0.08,   0.01,  -0.06,   0.10,  -0.16,  -0.24,  -0.39
19270723,   0.56,   0.66,  -0.02,  -0.08,   0.11,   0.23,   0.03,   0.45,   0.27,   0.77
